,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 13, 2022 - 12:00 SGTStorm Point Lightning Unicorn StinkyB Method2Madness","Round 1 Round 1 March 13, 2022 - 12:00 SGTStorm Point Lightning Unicorn StinkyB Method2Madness","Round 2 Round 2 March 13, 2022 - 12:30 SGTStorm Point Reignite Lightning Unicorn StinkyB","Round 2 Round 2 March 13, 2022 - 12:30 SGTStorm Point Reignite Lightning Unicorn StinkyB","Round 3 Round 3 March 13, 2022 - 13:00 SGTStorm Point Lightning Unicorn DreamFire ANT Esports Club","Round 3 Round 3 March 13, 2022 - 13:00 SGTStorm Point Lightning Unicorn DreamFire ANT Esports Club","Round 4 Round 4 March 13, 2022 - 13:30 SGTWorld's Edge Reignite BRP FreeAgents","Round 4 Round 4 March 13, 2022 - 13:30 SGTWorld's Edge Reignite BRP FreeAgents","Round 5 Round 5 March 13, 2022 - 14:00 SGTWorld's Edge DreamFire BRP ANT Esports Club","Round 5 Round 5 March 13, 2022 - 14:00 SGTWorld's Edge DreamFire BRP ANT Esports Club","Round 6 Round 6 March 13, 2022 - 14:30 SGTWorld's Edge StinkyB Dream eSports IN DreamFire","Round 6 Round 6 March 13, 2022 - 14:30 SGTWorld's Edge StinkyB Dream eSports IN DreamFire"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STB,77,2,8,3,6,6,6,13,0,7,4,1,18
1,2.0,ANT,63,8,0,5,0,3,8,6,7,3,14,4,6
2,3.0,RIG,62,10,3,1,15,7,2,1,8,8,2,15,0
3,4.0,DF,61,12,1,7,3,2,10,5,3,1,6,3,2
4,5.0,LU,60,1,8,2,9,1,7,16,0,12,0,8,0
5,6.0,BRP,59,4,5,13,4,4,6,2,7,2,5,13,2
6,7.0,FA,46,6,7,4,1,18,0,3,11,10,3,6,4
7,8.0,M2,36,3,4,14,0,8,5,12,2,5,4,7,3
8,9.0,SLAY,35,7,4,6,0,5,2,4,6,6,4,16,1
9,10.0,DESI,22,11,1,18,0,9,0,18,0,15,1,2,7
10,11.0,NLN,17,18,0,8,2,13,1,9,0,9,3,11,3
11,12.0,DYN,17,5,0,15,0,14,0,7,1,4,2,17,0
12,13.0,EMM,16,13,5,11,0,12,3,14,2,16,0,18,2
13,14.0,WHIZ,15,16,0,10,3,11,1,15,3,13,0,10,1
14,15.0,DNZ,12,14,0,9,6,17,0,17,0,17,0,12,2
15,16.0,Antiaa,12,15,2,17,0,15,0,8,1,14,0,5,0
16,17.0,OC,10,9,0,16,0,16,0,10,0,11,2,9,1
17,18.0,PWLS,7,17,0,12,0,10,0,11,2,18,0,14,0
18,19.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
