,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 15:00 JSTStorm Point αDRaccoon GameWith BEXT e-Sports","Round 1 Round 1 March 19, 2022 - 15:00 JSTStorm Point αDRaccoon GameWith BEXT e-Sports","Round 2 Round 2 March 19, 2022 - 15:30 JSTStorm Point FOR7 αDRaccoon Lag Gaming","Round 2 Round 2 March 19, 2022 - 15:30 JSTStorm Point FOR7 αDRaccoon Lag Gaming","Round 3 Round 3 March 19, 2022 - 16:00 JSTStorm Point Riddle FOR7 Meteor","Round 3 Round 3 March 19, 2022 - 16:00 JSTStorm Point Riddle FOR7 Meteor","Round 4 Round 4 March 19, 2022 - 16:30 JSTWorld's Edge αDRaccoon Flora esports Riddle","Round 4 Round 4 March 19, 2022 - 16:30 JSTWorld's Edge αDRaccoon Flora esports Riddle","Round 5 Round 5 March 19, 2022 - 17:00 JSTWorld's Edge Pro Gaming team Selector Fascination Colors Destroy FAV gaming","Round 5 Round 5 March 19, 2022 - 17:00 JSTWorld's Edge Pro Gaming team Selector Fascination Colors Destroy FAV gaming","Round 6 Round 6 March 19, 2022 - 17:30 JSTWorld's Edge Fascination Colors Destroy Lag Gaming Flora esports","Round 6 Round 6 March 19, 2022 - 17:30 JSTWorld's Edge Fascination Colors Destroy Lag Gaming Flora esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,αDR,87,1,11,2,5,6,2,1,12,4,5,4,6
1,2.0,FCD,70,16,4,18,4,7,8,9,5,2,12,1,11
2,3.0,FSV,65,13,2,1,12,2,9,12,3,8,6,8,6
3,4.0,Flora,50,4,10,14,1,5,7,2,5,19,0,3,1
4,5.0,GW,49,2,4,4,8,14,1,5,2,9,3,7,7
5,6.0,RID,47,9,7,8,4,1,6,3,2,6,2,19,0
6,7.0,LAG,37,11,1,3,5,20,0,4,3,15,1,2,4
7,8.0,GTS,33,5,0,12,3,8,4,16,3,1,4,18,0
8,9.0,BEXT,32,3,4,5,4,11,1,14,3,11,0,14,5
9,10.0,TW,29,7,3,10,1,9,3,11,2,14,3,5,4
10,11.0,FAV,24,20,0,16,2,10,7,17,0,3,6,17,0
11,12.0,MTR,24,18,0,11,2,3,6,10,4,10,0,16,0
12,13.0,ORF,22,14,2,9,1,19,0,6,7,20,0,6,3
13,14.0,YOG,20,10,1,6,2,12,0,8,3,13,3,9,0
14,15.0,ALV,19,15,0,19,0,16,3,13,3,7,3,10,3
15,16.0,QF,19,6,1,20,0,4,4,15,1,16,1,15,2
16,17.0,RUG,18,17,0,7,3,13,0,18,0,5,6,11,0
17,18.0,D4RK,13,8,4,17,0,17,0,20,0,12,0,13,5
18,19.0,REAH,13,12,2,15,3,18,0,7,0,18,0,12,2
19,20.0,DAI,3,19,0,13,1,15,0,19,0,17,0,20,0
