Group A StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,K1CK,69,10,3,8,9,1,11,10,5,1,8,13,2
2.0,ZETA,63,6,7,4,8,3,18,11,13,17,0,15,0
3.0,789,58,17,0,1,9,19,0,19,1,3,7,1,10
4.0,OG,44,1,10,13,4,8,0,6,3,7,6,18,0
5.0,NAVI,43,5,0,3,10,14,4,7,1,8,3,9,6
6.0,FORG,42,7,3,17,1,5,5,12,0,4,6,4,9
7.0,PXL,41,2,6,5,4,2,6,13,0,15,0,12,0
8.0,UND,35,20,0,20,0,20,0,1,16,5,3,17,0
9.0,VXD,33,9,2,6,3,11,0,5,1,13,3,3,6
10.0,LPOG,33,3,2,10,2,18,0,2,2,6,2,10,2
11.0,RAT,32,18,0,14,3,4,5,16,0,2,9,19,0
12.0,BFG,31,4,5,19,0,17,0,3,1,9,1,2,1
13.0,ATK,28,15,4,12,1,16,2,17,3,14,0,5,11
14.0,KNG,27,11,3,2,0,12,0,15,0,10,4,7,3
15.0,SMS,25,16,2,16,0,6,3,4,7,16,0,6,2
16.0,BBG,23,19,2,15,3,7,1,9,1,11,4,14,4
17.0,SNK,21,14,9,18,0,10,0,14,2,18,0,8,4
18.0,UTFT,11,8,2,7,0,9,0,8,0,19,0,16,0
19.0,SCTA,8,13,0,11,2,13,0,18,0,12,1,11,0
20.0,Ratio,7,12,2,9,0,15,1,20,0,20,0,20,0
