,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 29, 2022 - 10:15 CESTStorm Point Team Empire REJECT Team Liquid","Round 1 Round 1 April 29, 2022 - 10:15 CESTStorm Point Team Empire REJECT Team Liquid","Round 2 Round 2 April 29, 2022 - 10:50 CESTStorm Point Team Liquid FOR7 100 Thieves","Round 2 Round 2 April 29, 2022 - 10:50 CESTStorm Point Team Liquid FOR7 100 Thieves","Round 3 Round 3 April 29, 2022 - 11:25 CESTStorm Point Team Empire Team Liquid Team Burger","Round 3 Round 3 April 29, 2022 - 11:25 CESTStorm Point Team Empire Team Liquid Team Burger","Round 4 Round 4 April 29, 2022 - 12:00 CESTWorld's Edge Crazy Raccoon Element 6 100 Thieves","Round 4 Round 4 April 29, 2022 - 12:00 CESTWorld's Edge Crazy Raccoon Element 6 100 Thieves","Round 5 Round 5 April 29, 2022 - 12:45 CESTWorld's Edge FOR7 OpTic Gaming REJECT","Round 5 Round 5 April 29, 2022 - 12:45 CESTWorld's Edge FOR7 OpTic Gaming REJECT","Round 6 Round 6 April 29, 2022 - 13:20 CESTWorld's Edge GMT Esports REJECT Team Burger","Round 6 Round 6 April 29, 2022 - 13:20 CESTWorld's Edge GMT Esports REJECT Team Burger"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TL,63,3,3,1,17,2,4,12,0,15,0,6,6
1,2.0,EMP,59,1,12,11,1,1,12,17,1,11,4,10,1
2,3.0,RC,59,2,8,9,0,11,0,14,4,3,10,2,8
3,4.0,FSV,55,7,6,2,11,18,2,10,0,1,9,16,1
4,5.0,OG,52,19,2,10,6,5,3,5,4,2,6,4,7
5,6.0,100T,49,5,3,3,5,12,1,3,8,5,4,8,3
6,7.0,E6,44,8,0,18,0,6,14,2,9,4,1,17,1
7,8.0,CR,37,17,3,14,1,10,0,1,8,9,3,11,4
8,9.0,TSM,36,4,10,7,6,9,6,9,0,10,0,18,0
9,10.0,STK,33,14,0,5,3,4,2,4,7,17,3,7,0
10,11.0,ELV,30,12,1,4,3,7,3,13,3,6,7,19,0
11,12.0,GMT,26,9,0,20,0,20,0,8,1,14,0,1,8
12,13.0,BRGR,26,13,0,19,0,3,3,11,0,8,3,3,2
13,14.0,FL,24,10,3,12,3,14,5,20,0,12,0,15,7
14,15.0,LG,20,11,3,13,0,8,4,18,3,7,3,20,0
15,16.0,FNX,15,15,0,8,0,13,0,19,0,19,1,5,6
16,17.0,FCD,13,6,2,15,0,16,1,7,2,16,0,14,0
17,18.0,ACE,10,16,0,17,0,19,0,15,6,13,1,13,0
18,19.0,SZ,10,20,0,16,0,15,0,6,1,18,1,9,2
19,20.0,XEN,5,18,0,6,0,17,0,16,0,20,0,12,1
