,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 28, 2022 - 17:00 BSTWorld's Edge Team Empire PlayersMissing: soloqoats","Round 1 Round 1 March 28, 2022 - 17:00 BSTWorld's Edge Team Empire PlayersMissing: soloqoats","Round 2 Round 2 March 28, 2022 - 17:30 BSTWorld's Edge Players SeComportaYa Horizon Union","Round 2 Round 2 March 28, 2022 - 17:30 BSTWorld's Edge Players SeComportaYa Horizon Union","Round 3 Round 3 March 28, 2022 - 18:00 BSTWorld's Edge Outplayed Kungarna Phoenix Legacy","Round 3 Round 3 March 28, 2022 - 18:00 BSTWorld's Edge Outplayed Kungarna Phoenix Legacy","Round 4 Round 4 March 28, 2022 - 18:30 BSTStorm Point GMT Esports Kungarna Phoenix Legacy","Round 4 Round 4 March 28, 2022 - 18:30 BSTStorm Point GMT Esports Kungarna Phoenix Legacy","Round 5 Round 5 March 28, 2022 - 19:00 BSTStorm Point GMT Esports Kungarna Phoenix Legacy","Round 5 Round 5 March 28, 2022 - 19:00 BSTStorm Point GMT Esports Kungarna Phoenix Legacy","Round 6 Round 6 March 28, 2022 - 19:30 BSTStorm Point Team Empire ATK Morning Stars","Round 6 Round 6 March 28, 2022 - 19:30 BSTStorm Point Team Empire ATK Morning Stars"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,EMP,66,1,11,6,6,8,1,6,1,7,2,1,10
1,2.0,PLRS,58,2,9,1,9,7,3,4,4,12,1,9,0
2,3.0,KNG,54,16,0,16,2,2,12,2,7,3,6,10,0
3,4.0,PXL,47,4,3,19,0,3,5,3,8,10,3,7,4
4,5.0,ACE,43,7,7,8,4,12,4,13,2,9,9,4,3
5,6.0,TTM,41,15,0,4,4,9,4,16,0,1,10,14,2
6,7.0,HRZN,37,19,0,3,5,4,6,8,0,5,7,15,0
7,8.0,OP,37,17,1,11,0,1,8,10,1,4,2,8,3
8,9.0,NAVI,34,6,5,5,7,18,3,11,1,8,2,5,2
9,10.0,MUT,31,14,4,9,4,14,3,12,2,16,0,6,10
10,11.0,GMT,31,13,0,15,1,19,0,1,10,13,5,18,0
11,12.0,SQG,30,3,5,13,3,10,2,14,3,19,0,13,5
12,13.0,SZ,30,5,2,12,0,15,0,7,3,2,6,12,0
13,14.0,SMS,26,10,2,14,0,13,0,9,6,14,0,3,4
14,15.0,SCTA,26,8,2,2,5,5,3,17,0,15,0,17,0
15,16.0,FORG,25,9,0,7,0,6,1,5,1,11,0,11,9
16,17.0,ATK,17,18,0,17,0,17,0,15,1,17,0,2,6
17,18.0,GOD,9,11,1,18,1,16,0,18,2,6,1,19,0
18,19.0,SOL,7,12,0,10,2,11,1,19,0,18,0,16,0
19,20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
